ada,title,amount,locations,why,from_whom,into_what,afm
6Χ4Ζ46ΜΔΨΟ-25Γ,"Ορισμός εκπροσώπων του Υπουργείου Μετανάστευσης και Ασύλου στις επιτροπές
υλοποίησης της από 21.02.2026 Προγραμματικής Σύμβασης μεταξύ του Υπουργείου
Μετανάστευσης και Ασύλου και του Ευρωπαϊκού Οργανισμού Δημοσίου Δικαίου
(EPLO) για το έργο «Υπηρεσίες συντήρησης, υποστήριξης και αναβάθμισης του
Ολοκληρωμένου Πληροφοριακού Συστήματος (ΟΠΣ) Μετανάστευσης».",Δεν αναφέρεται συγκεκριμένο χρηματικό ποσό.,"Δεν αναφέρονται συγκεκριμένες περιοχές για τις δράσεις, καθώς αφορά ένα Ολοκληρωμένο Πληροφοριακό Σύστημα.","Για την υλοποίηση του έργου «Υπηρεσίες συντήρησης, υποστήριξης και αναβάθμισης του Ολοκληρωμένου Πληροφοριακού Συστήματος (ΟΠΣ) Μετανάστευσης» στα πλαίσια υποστήριξης των διαδικασιών της νόμιμης μετανάστευσης.","Το Υπουργείο Μετανάστευσης και Ασύλου, σε συνεργασία με τον Αναπληρωτή Υπουργό Εθνικής Οικονομίας και Οικονομικών, με χρηματοδότηση από την Ευρωπαϊκή Ένωση και το Ευρωπαϊκό Ταμείο Ασύλου, Μετανάστευσης και Ένταξης (ΤΑΜΕ/AMIF).","Στον Ευρωπαϊκό Οργανισμό Δημοσίου Δικαίου (EPLO) για το έργο «Υπηρεσίες συντήρησης, υποστήριξης και αναβάθμισης του Ολοκληρωμένου Πληροφοριακού Συστήματος (ΟΠΣ) Μετανάστευσης».",Δεν αναφέρεται.
6ΜΤΓ46ΜΔΨΟ-ΟΟ4,Διαπιστωτική πράξη αυτοδίκαιης μονιμοποίησης υπαλλήλου του Υπουργείου Μετανάστευσης και Ασύλου.,0,"Αγ. Ιωάννης Ρέντης – Νίκαια, Αθήνα",Αυτοδίκαιη μονιμοποίηση υπαλλήλου,Υπουργείο Μετανάστευσης και Ασύλου,Μονιμοποίηση της υπαλλήλου Τσέλα Κλοντιάνα του Γκέργκι σε κενή οργανική θέση δημοσίου δικαίου κατηγορίας ΠΕ κλάδου/ειδικότητας ΠΕ Διοικητικού Οικονομικού στο Υπουργείο Μετανάστευσης και Ασύλου,
Ψ23Μ46ΜΔΨΟ-Θ1Υ,Διαπιστωτική πράξη αυτοδίκαιης μονιμοποίησης υπαλλήλου του Υπουργείου Μετανάστευσης και Ασύλου.,Δεν προκαλείται δαπάνη,"Αγ. Ιωάννης Ρέντης, Νίκαια, Αθήνα, Κεντρική Υπηρεσία Υπουργείου Μετανάστευσης και Ασύλου",Αυτοδίκαιη μονιμοποίηση υπαλλήλου,Υπουργείο Μετανάστευσης και Ασύλου,Διαδικασία μονιμοποίησης υπαλλήλου (Γραμματικοπούλου Αγγελική),
Ψ9Ν246ΜΔΨΟ-1ΔΛ,"Ανάληψη και Δέσμευση πίστωσης 790,00 € από τον Ε.Φ. 1055 207 , ΑΛΕ 2420404001 για την κάλυψη εξόδων
κίνησης της Βαϊας Σταμκοπούλου στο Ελσίνκι, από 14/06/2026 έως 16/06/2026","790,00 €",Ελσίνκι,"την κάλυψη εξόδων κίνησης της Βαϊας Σταμκοπούλου στο Ελσίνκι, από 14/06/2026 έως 16/06/2026",ΥΠΟΥΡΓΕΙΟ ΜΕΤΑΝΑΣΤΕΥΣΗΣ ΚΑΙ ΑΣΥΛΟΥ,Έξοδα κίνησης προσωπικού,
9ΧΡΙ46ΜΔΨΟ-Υ66,"Ανάληψη και Δέσμευση πίστωσης 352,00 € από τον Ε.Φ. 1055 207 , ΑΛΕ 2420405001 για την κάλυψη εξόδων
διανυκτέρευσης της Βαϊας Σταμκοπούλου στο Ελσίνκι, από 14/06/2026 έως 16/06/2026","352,00 €",Ελσίνκι,για την κάλυψη εξόδων διανυκτέρευσης της Βαϊας Σταμκοπούλου,Υπουργείο Μετανάστευσης και Ασύλου,Έξοδα διανυκτέρευσης προσωπικού για την κάλυψη εξόδων διανυκτέρευσης της Βαϊας Σταμκοπούλου,
6Δ5446ΜΔΨΟ-Τ3Ο,"Ανάληψη και Δέσμευση πίστωσης 448,74 € από τον Ε.Φ. 1055 501 , ΑΛΕ 2410204001 για τη συντήρηση και
επισκευή (ανταλλακτικά) του υπηρεσιακού οχήματος μάρκας Peugeot με αριθμό κυκλοφορίας ΚΥ 9117 του Υπουργείου
Μετανάστευσης και Ασύλου","448,74 €","Αγ. Ιωάννης Ρέντης, Αθήνα",Για τη συντήρηση και επισκευή (ανταλλακτικά) του υπηρεσιακού οχήματος μάρκας Peugeot με αριθμό κυκλοφορίας ΚΥ 9117 του Υπουργείου Μετανάστευσης και Ασύλου,Υπουργείο Μετανάστευσης και Ασύλου,Αγορές ειδών συντήρησης και επισκευής μεταφορικών μέσων ξηράς για το υπηρεσιακό όχημα μάρκας Peugeot με αριθμό κυκλοφορίας ΚΥ 9117,
ΡΝΟ746ΜΔΨΟ-Π6Ι,"Ανάληψη και Δέσμευση πίστωσης 398,97 € από τον Ε.Φ. 1055 501 , ΑΛΕ 2420302001 για τη συντήρηση και
επισκευή (εργασίες) του υπηρεσιακού οχήματος μάρκας Peugeot με αριθμό κυκλοφορίας ΚΥ 9117 του Υπουργείου
Μετανάστευσης και Ασύλου","398,97 €","Αγ. Ιωάννης Ρέντης, Αθήνα",Για τη συντήρηση και επισκευή (εργασίες) του υπηρεσιακού οχήματος μάρκας Peugeot με αριθμό κυκλοφορίας ΚΥ 9117 του Υπουργείου Μετανάστευσης και Ασύλου,Υπουργείο Μετανάστευσης και Ασύλου,Συντήρηση και επισκευή (εργασίες) του υπηρεσιακού οχήματος μάρκας Peugeot με αριθμό κυκλοφορίας ΚΥ 9117 του Υπουργείου Μετανάστευσης και Ασύλου,
9Ι7Δ46ΜΔΨΟ-9ΩΘ,"Ανάληψη και Δέσμευση πίστωσης 29.216,32 € από τον Ε.Φ. 1055 202 , ΑΛΕ 2440101001 για την ανανέωση/
παράταση μίσθωσης ακινήτου για τη στέγαση του Περιφερειακού Γραφείου Ασύλου Χίου, της Διεύθυνσης Περιφερειακών
Υπηρεσιών της Υπηρεσίας Ασύλου","29.216,32 €",Χίος,για την ανανέωση/παράταση μίσθωσης ακινήτου για τη στέγαση του Περιφερειακού Γραφείου Ασύλου Χίου,"Υπουργείο Μετανάστευσης και Ασύλου, Γενική Διεύθυνση Διοικητικών και Οικονομικών Υπηρεσιών, Διεύθυνση Οικονομικής Διαχείρισης, Τμήμα Εκτέλεσης Τακτικού Προϋπολογισμού",Συμβάσεις μίσθωσης κτιρίων (πλην leasing) για τη στέγαση του Περιφερειακού Γραφείου Ασύλου Χίου,Δεν αναφέρεται
ΡΘ7Ε46ΜΔΨΟ-ΤΘ2,"Ανάληψη και Δέσμευση πίστωσης 226.618,98 € από τον Ε.Φ. 1055 501 , ΑΛΕ 3140301001 για την ενεργοποίηση
δικαιώματος προαίρεσης του έτους 2025 (ανεκτέλεστο) βάσει της με αρ.πρωτ.309693/30.12.2024 (ΑΔΑΜ:
24SYMV016101388 2024-12-31) Σύμβασης με αντικείμενο την ανανέωση των αδειών λογισμικού Microsoft 365 του
Υπουργείου Μετανάστευσης και Ασύλου για τρία (3) έτη","226.618,98 €",Υπουργείο Μετανάστευσης και Ασύλου,Ανανέωση των αδειών λογισμικού Microsoft 365 του Υπουργείου Μετανάστευσης και Ασύλου για τρία (3) έτη,Υπουργείο Μετανάστευσης και Ασύλου,Ανανέωση των αδειών λογισμικού Microsoft 365,
ΡΡΖ146ΜΔΨΟ-Η2Λ,ΠΡΟΣΚΛΗΣΗ ΓΙΑ ΤΗΝ ΥΠΟΒΟΛΗ ΠΡΟΤΑΣΗΣ ΣΤΟ «ΤΠΑ Υπουργείου Μετανάστευσης και Ασύλου 2026-2030» ΑΞΟΝΑ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ:1.16 «Διαχείριση Μεταναστευτικών Ροών από την υποδοχή έως την ένταξη» ΜΕ ΤΙΤΛΟ «Κατασκευή περίφραξης τύπου ΝΑΤΟ στη Προσωρινή Δομή Υποδοχής και Ταυτοποίησης στην περιοχή Αγυιά του Δήμου Χανίων Κρήτης»,"75.000,00€",Προσωρινή Δομή Υποδοχής και Ταυτοποίησης στην περιοχή Αγυιά του Δήμου Χανίων Κρήτης,"Αντιμετώπιση της διαρκώς αυξανόμενης μεταναστευτικής και προσφυγικής πίεσης μέσω του νότιου θαλάσσιου διαδρόμου και κάλυψη της ανάγκης φιλοξενίας αιτούντων άσυλο στην Περιφέρεια Κρήτης, η οποία αποτελεί περιοχή πρώτης υποδοχής.",Υπουργείο Μετανάστευσης και Ασύλου,Κατασκευή περίφραξης τύπου ΝΑΤΟ στην Προσωρινή Δομή Υποδοχής και Ταυτοποίησης στην περιοχή Αγυιά Χανίων Κρήτης,Δεν αναφέρεται
99Χ546ΜΔΨΟ-ΩΩ1,Διορισμός υπαλλήλου Δευτεροβάθμιας Εκπαίδευσης στο Υπουργείο Μετανάστευσης και Ασύλου,Not specified,Ελεγχόμενη Δομή Προσωρινής Φιλοξενίας Αιτούντων Άσυλο Θήβας,Διορισμός υπαλλήλου Δευτεροβάθμιας Εκπαίδευσης,Υπουργείο Μετανάστευσης και Ασύλου,Μόνιμη θέση υπαλλήλου Δευτεροβάθμιας Εκπαίδευσης στην Ελεγχόμενη Δομή Προσωρινής Φιλοξενίας Αιτούντων Άσυλο Θήβας,Not found
ΨΖΝ246ΜΔΨΟ-ΩΑΥ,ΟΡΙΣΜΟΣ ΥΠΟΛΟΓΟΥ/ΩΝ ΔΙΑΧΕΙΡΙΣΤΗ/ΩΝ ΕΡΓΩΝ ΤΗΣ ΣΥΛΛΟΓΙΚΗΣ ΑΠΟΦΑΣΗΣ Ε9562 ΤΟΥ ΦΟΡΕΑ ΧΡΗΜΑΤΟΔΟΤΗΣΗΣ ΥΠΟΥΡΓΕΙΟ ΜΕΤΑΝΑΣΤΕΥΣΗΣ ΚΑΙ ΑΣΥΛΟΥ,Δεν αναφέρεται,"Κ.Φ.Α.Α. Πενταλόφου, Δήμος Βοΐου","Για την υλοποίηση του έργου ""Λειτουργία Κ.Φ.Α.Α. Πενταλόφου 2024 2025""",ΥΠΟΥΡΓΕΙΟ ΜΕΤΑΝΑΣΤΕΥΣΗΣ ΚΑΙ ΑΣΥΛΟΥ,"Δήμος Βοΐου για το έργο ""Λειτουργία Κ.Φ.Α.Α. Πενταλόφου 2024 2025""",998059393
9ΧΜΦ46ΜΔΨΟ-ΠΒΛ,"1η Τροποποίηση της Πράξης «Επιχορήγηση ΝΠ Διεθνής Οργανισμός Μεταναστεύσεως (ΔΟΜ) Αποστολή Ελλάδος για την
υλοποίηση του έργου «Εφαρμογή των υποβοηθούμενων εθελούσιων επιστροφών και μέτρων επανένταξης καθώς και λειτουργία
Δομής Φιλοξενίας αιτούντων εθελούσιας επιστροφής»» με Κωδικό ΟΠΣ 6001717 στο Πρόγραμμα «Πρόγραμμα Ελλάδας - Ταμείο
Ασύλου, Μετανάστευσης και Ένταξης 2021-2027»","52.000.000,00 € (εκ των οποίων 39.000.000 € συνεισφορά της Ένωσης)","Ελλάδα (ηπειρωτική Ελλάδα και νησιά), Αττική, χώρες καταγωγής (ενδεικτικά: Πακιστάν, Αλγερία, Αίγυπτος, Γκάνα, Ιράκ, Ιράν, Μαρόκο, Μπανγκλαντές, Γεωργία, Ινδία), άλλα κράτη μέλη της ΕΕ και τρίτες χώρες","Για την εφαρμογή των υποβοηθούμενων εθελούσιων επιστροφών και μέτρων επανένταξης, καθώς και τη λειτουργία Δομής Φιλοξενίας αιτούντων εθελούσιας επιστροφής, με σκοπό την ασφαλή και αξιοπρεπή επιστροφή 17.000 πολιτών τρίτων χωρών και τη βιώσιμη επανένταξη 1.700 εξ αυτών","Υπουργείο Μετανάστευσης και Ασύλου (Γενική Γραμματέας), συγχρηματοδοτούμενο από το Ταμείο Ασύλου, Μετανάστευσης και Ένταξης","Διεθνής Οργανισμός Μεταναστεύσεως (ΔΟΜ) Αποστολή Ελλάδος, για την υλοποίηση του έργου «Εφαρμογή των υποβοηθούμενων εθελούσιων επιστροφών και μέτρων επανένταξης καθώς και λειτουργία Δομής Φιλοξενίας αιτούντων εθελούσιας επιστροφής»",
Ε6ΜΚ46ΜΔΨΟ-80Κ,"ΠΡΟΣΚΛΗΣΗ ΜΕ ΤΙΤΛΟ «Επιχορήγηση φορέων για τη λειτουργία Εποπτευόμενων Διαμερισμάτων Ημιαυτόνομης Διαβίωσης για Aσυνόδευτους Ανήλικους 16 ετών και άνω (SILS) [2026]» ΓΙΑ ΤΗΝ ΥΠΟΒΟΛΗ ΠΡΟΤΑΣΕΩΝ ΣΤΟ ΠΡΟΓΡΑΜΜΑ Πρόγραμμα Ελλάδας - Ταμείο Ασύλου, Μετανάστευσης και  Ένταξης","6.000.000,00€","Ελλάδα, σε Εποπτευόμενα Διαμερίσματα Ημιαυτόνομης Διαβίωσης (Ε.Δ.Η.Δ.)","Για τη λειτουργία Εποπτευόμενων Διαμερισμάτων Ημιαυτόνομης Διαβίωσης για Ασυνόδευτους Ανήλικους 16 ετών και άνω (SILS), με σκοπό τη διασφάλιση της ομαλής μετάβασης αυτών στην ενηλικίωση, στην αυτόνομη διαβίωση και στην κοινωνική ένταξη.","Υπουργείο Μετανάστευσης και Ασύλου, Γενική Γραμματεία Μεταναστευτικής Πολιτικής, Ειδική Υπηρεσία Συντονισμού και Διαχείρισης Προγραμμάτων Μετανάστευσης και Εσωτερικών Υποθέσεων (Ε.Υ.ΣΥ.Δ.-Μ.Ε.Υ.), μέσω του Προγράμματος Ελλάδας - Ταμείο Ασύλου, Μετανάστευσης και Ένταξης (ΤΑΜΕ).","Σε φορείς (Ν.Π.Ι.Δ., Ενώσεις Προσώπων, Παραρτήματα διεθνών οργανώσεων και αλλοδαπών ΜΚΟ, Σωματεία, Διεθνείς οργανισμοί, ΜΚΟ, Αστικές Εταιρείες Μη Κερδοσκοπικού Χαρακτήρα, Ν.Π.Δ.Δ., Κοινωφελή Ιδρύματα, Δήμοι) για τη λειτουργία Εποπτευόμενων Διαμερισμάτων Ημιαυτόνομης Διαβίωσης για Ασυνόδευτους Ανήλικους 16 ετών και άνω (SILS).",Δεν αναφέρεται
ΡΙΧΧ46ΜΔΨΟ-8Δ6,Έγκριση 20ης Γραπτής Διαδικασίας της Επιτροπής Παρακολούθησης των Προγραμμάτων Ταμείων Μετανάστευσης και Εσωτερικών Υποθέσεων (ΤΑΜΕΥ) Προγραμματικής Περιόδου 2021 – 2027,Δεν αναφέρεται συγκεκριμένο χρηματικό ποσό.,"Δεν αναφέρονται συγκεκριμένες γεωγραφικές περιοχές, αλλά αφορά τη λειτουργία Εποπτευόμενων Διαμερισμάτων Ημιαυτόνομης Διαβίωσης (SILS).",Έγκριση της μεθοδολογίας και των κριτηρίων αξιολόγησης προτάσεων για την επιχορήγηση φορέων για τη λειτουργία Εποπτευόμενων Διαμερισμάτων Ημιαυτόνομης Διαβίωσης για Ασυνόδευτους Ανήλικους 16 ετών και άνω (SILS).,"Η Πρόεδρος της Επιτροπής Παρακολούθησης των Προγραμμάτων Ταμείων Μετανάστευσης και Εσωτερικών Υποθέσεων (ΤΑΜΕΥ) Προγραμματικής Περιόδου 2021 – 2027, Γενική Γραμματέας Μεταναστευτικής Πολιτικής (Κωνσταντίνα Παπακώστα), υπό την αιγίδα του Υπουργείου Μετανάστευσης & Ασύλου.",Επιχορήγηση φορέων για τη λειτουργία Εποπτευόμενων Διαμερισμάτων Ημιαυτόνομης Διαβίωσης για Ασυνόδευτους Ανήλικους 16 ετών και άνω (SILS) [2026].,
ΡΨΙΤ46ΜΔΨΟ-ΚΚΛ,"Λύση σύμβασης εργασίας της Λακαφώση Αγγελικής, υπαλλήλου Ιδιωτικού Δικαίου Ορισμένου Χρόνου της Ανακοίνωσης υπ’ αριθ. ΣΟΧ 1/2019 της Υπηρεσίας Ασύλου",,,,,,
62ΤΨ46ΜΔΨΟ-Ι6Φ,Απόφαση Έγκρισης Δαπάνης για την κάλυψη των δαπανών χρήσης υπηρεσιών κινητής τηλεφω-νίας των Προϊσταμένων Μονάδων της Ειδικής Υπηρεσίας Συντονισμού και Διαχείρισης Προγραμμάτων Μετανάστευσης και Εσωτερικών Υποθέσεων.,"223,94€",Άγ. Ι. Ρέντης,"Για την κάλυψη των δαπανών χρήσης υπηρεσιών κινητής τηλεφωνίας των Προϊσταμένων Μονάδων της Ειδικής Υπηρεσίας Συντονισμού και Διαχείρισης Προγραμμάτων Μετανάστευσης και Εσωτερικών Υποθέσεων, με σκοπό την εύρυθμη λειτουργία της ΕΥΣΥΔ ΜΕΥ.","Υπουργείο Μετανάστευσης & Ασύλου, Ειδική Υπηρεσία Συντονισμού & Διαχείρισης Προγραμμάτων Μετανάστευσης & Εσωτερικών Υποθέσεων (ΕΥΣΥΔ-ΜΕΥ)","Στο υποέργο «Ανάπτυξη ικανοτήτων και Τεχνική Βοήθεια της ΕΥΣΥΔ-ΜΕΥ» της δράσης «Ενέργειες Τεχνικής Βοήθειας για την ΕΥΣΥΔ-MEY», για Γενικά Έξοδα Λειτουργίας (υπηρεσίες κινητής τηλεφωνίας).",
935Β46ΜΔΨΟ-ΕΣ2,Απευθείας ανάθεση για την προμήθεια ενημερωτικού υλικού προβολής της Δράσης «Ενισχύοντας τη  Διαδικασία Ασύλου για Ευάλωτους Αιτούντες Ασύλου στην Ελλάδα» της Υπηρεσίας Ασύλου,"2.294,00 € (συμπεριλαμβανομένου ΦΠΑ 24%)","Ελλάδα (για τη δράση), Αθήνα (έδρα αναδόχου), Άγιος Ιωάννης Ρέντης (έδρα Υπουργείου)",Για την προμήθεια ενημερωτικού υλικού προβολής της Δράσης «Ενισχύοντας τη Διαδικασία Ασύλου για Ευάλωτους Αιτούντες Ασύλου στην Ελλάδα» της Υπηρεσίας Ασύλου.,Υπουργείο Μετανάστευσης & Ασύλου (μέσω της Διεύθυνσης Προμηθειών & Λειτουργικής Μέριμνας) με κάλυψη δαπάνης από Πρόγραμμα εγκεκριμένο από τον Αναπληρωτή Υπουργό Εθνικής Οικονομίας και Οικονομικών.,Στην ατομική επιχείρηση «ΜΟΡΑΡΗΣ ΓΕΩΡΓΙΟΣ ΤΟΥ ΑΓΓΕΛΟΥ» για την προμήθεια ενημερωτικού υλικού (πινακίδες και φυλλάδια) για τη Δράση «Ενισχύοντας τη Διαδικασία Ασύλου για Ευάλωτους Αιτούντες Ασύλου στην Ελλάδα».,057408483
ΨΗ3Σ46ΜΔΨΟ-ΥΨ3,Παράταση της με αρ.πρωτ.73565/23.04.2026 Σύμβασης παροχής υπηρεσιών πιστοποιημένου εκτιμητή για τον προσδιορισμό της αξίας του μισθώματος που αφορά στη μίσθωση εννέα (9) γεωτεμαχίων  για τις ανάγκες λειτουργίας μονάδας αφαλάτωσης στη νέα Δομή της Λέσβου.,Δεν αναφέρεται συγκεκριμένο χρηματικό ποσό,Νέα Δομή της Λέσβου,Παράταση της σύμβασης παροχής υπηρεσιών πιστοποιημένου εκτιμητή για τον προσδιορισμό της αξίας του μισθώματος εννέα (9) γεωτεμαχίων για τις ανάγκες λειτουργίας μονάδας αφαλάτωσης,"Υπουργείο Μετανάστευσης & Ασύλου, Γενική Διεύθυνση Διοικητικών & Οικονομικών Υπηρεσιών, Διεύθυνση Προμηθειών & Λειτουργικής Μέριμνας",Παροχή υπηρεσιών πιστοποιημένου εκτιμητή στην «ΑΥΓΕΡΙΚΟΥ ΣΤΥΛΙΑΝΗ – ΠΙΣΤΟΠΟΙΗΜΕΝΗ ΕΚΤΙΜΗΤΡΙΑ ΑΚΙΝΗΤΩΝ» για τον προσδιορισμό της αξίας του μισθώματος εννέα (9) γεωτεμαχίων για τη λειτουργία μονάδας αφαλάτωσης,Δεν αναφέρεται
9ΓΛΨ46ΜΔΨΟ-Ζ6Β,«Ορισμός υπευθύνων για την παραλαβή των προγραμμάτων επισκέψεων του Ιατρού Εργασίας και του Τεχνικού Ασφαλείας για το σύνολο των υπηρεσιών του Υπουργείου Μετανάστευσης και Ασύλου».,"Δεν αναφέρεται χρηματικό ποσό για την παρούσα απόφαση, καθώς δηλώνεται ότι δεν προκαλεί δαπάνη σε βάρος του κρατικού προϋπολογισμού.","Στο σύνολο των υπηρεσιών του Υπουργείου Μετανάστευσης και Ασύλου, με έμφαση στις οργανικές μονάδες που εδρεύουν στις εγκαταστάσεις του Κτηρίου Κεράνης, Λεωφόρου Θηβών 196-198, Νίκαια - Άγιος Ιωάννης Ρέντη.",Ορισμός υπευθύνων για την παραλαβή των προγραμμάτων επισκέψεων του Ιατρού Εργασίας και του Τεχνικού Ασφαλείας.,Η Υπηρεσιακή Γραμματέας του Υπουργείου Μετανάστευσης και Ασύλου.,Παροχή υπηρεσιών τεχνικού ασφαλείας και ιατρού εργασίας από την εταιρεία «ΟΜSSΕ Ε.Π.Ε ΕΞΩΤΕΡΙΚΗΣ ΥΠΗΡΕΣΙΑΣ ΠΡΟΣΤΑΣΙΑΣ ΚΑΙ ΠΡΟΛΗΨΗΣ» με διακριτικό τίτλο «PROVISION».,Δεν αναφέρεται.
9ΥΡΧ46ΜΔΨΟ-800,Διόρθωση σφάλματος που αφορά στην υπ΄ αρ.: 81413/06-05-2026 απόφαση του Υπουργού Μετανάστευσης και Ασύλου (ΦΕΚ 697/τ. Υ.Ο.Δ.Δ./20-05-2026).,,,Διόρθωση εσφαλμένου τίτλου ειδικότητας από «ΠΕ Πολιτικών Μηχανικών» σε «ΤΕ Πολιτικών Μηχανικών» σε προηγούμενη απόφαση.,Υπουργείο Μετανάστευσης και Ασύλου,Διόρθωση δημοσιευμένης απόφασης,
6Τ5Φ46ΜΔΨΟ-ΔΦ4,Ορισμός Αναπληρωτή Προϊσταμένου σε τμήμα της Διεύθυνση Προστασίας Ασυνόδευτων Ανηλίκων της Γενικής Γραμματείας Ευάλωτων Πολιτών και Θεσμικής Προστασίας του Υπουργείου Μετανάστευσης και Ασύλου,Δεν αναφέρεται χρηματικό ποσό,"Υπουργείο Μετανάστευσης και Ασύλου, Λ. Θηβών 196-198, Άγιος Ιωάννης Ρέντης 18233, εντός της Διεύθυνσης Προστασίας Ασυνόδευτων Ανηλίκων της Γενικής Γραμματείας Ευάλωτων Πολιτών και Θεσμικής Προστασίας",Διασφάλιση της εύρυθμης και αποτελεσματικής λειτουργίας του Τμήματος Θεσμικής Προστασίας και Επιτροπείας της Διεύθυνσης Προστασίας Ασυνόδευτων Ανηλίκων,Η Υπηρεσιακή Γραμματέας του Υπουργείου Μετανάστευσης και Ασύλου,Ορισμός Αναπληρώτριας Προϊσταμένης στο Τμήμα Θεσμικής Προστασίας και Επιτροπείας της Διεύθυνσης Προστασίας Ασυνόδευτων Ανηλίκων της Γενικής Γραμματείας Ευάλωτων Πολιτών και Θεσμικής Προστασίας του Υπουργείου Μετανάστευσης και Ασύλου,Δεν αναφέρεται
9ΧΞΠ46ΜΔΨΟ-Β0Χ,15η Εξειδίκευση Προγραμμάτων Ταμείων Μετανάστευσης και Εσωτερικών Υποθέσεων (ΤΑΜΕΥ) Προγραμματικής Περιόδου 2021 – 2027,,Ελλάδα,"Έγκριση της 15ης Εξειδίκευσης και του προγραμματισμού των προς έκδοση προσκλήσεων των Προγραμμάτων των Ταμείων Μετανάστευσης και Εσωτερικών Υποθέσεων (ΤΑΜΕΥ) της Προγραμματικής Περιόδου 2021-2027, για τη στήριξη δράσεων/έργων που αφορούν το άσυλο, τη μετανάστευση, την ένταξη, τη διαχείριση συνόρων και την εσωτερική ασφάλεια.","Η Γενική Γραμματέας Μεταναστευτικής Πολιτικής του Υπουργείου Μετανάστευσης & Ασύλου, κατόπιν εισήγησης της Ειδικής Υπηρεσίας Συντονισμού & Διαχείρισης Προγραμμάτων Μετανάστευσης & Εσωτερικών Υποθέσεων (ΕΥΣΥΔ-ΜΕΥ), με χρηματοδότηση από τα Ευρωπαϊκά Ταμεία Ασύλου, Μετανάστευσης και Ένταξης (ΤΑΜΕ/AMIF), Μέσου Χρηματοδοτικής Στήριξης για τη Διαχείριση των Συνόρων και την Πολιτική Θεωρήσεων (ΜΔΣΘ/BMVI) και Ταμείου Εσωτερικής Ασφάλειας (ΤΕΑ/ISF).","Προγράμματα των Ταμείων Μετανάστευσης και Εσωτερικών Υποθέσεων (ΤΑΜΕΥ) της Προγραμματικής Περιόδου 2021-2027, που περιλαμβάνουν το Ταμείο Ασύλου, Μετανάστευσης και Ένταξης (ΤΑΜΕ/AMIF), το Μέσο Χρηματοδοτικής Στήριξης για τη Διαχείριση των Συνόρων και την Πολιτική Θεωρήσεων (ΜΔΣΘ/BMVI) και το Ταμείο Εσωτερικής Ασφάλειας (ΤΕΑ/ISF).",
Ψ67Ζ46ΜΔΨΟ-Ρ3Α,Mετακίνηση υπαλλήλου στην Μονάδα Β.1: Διαχείρισης έργων/δράσεων ΤΕΑ και ΜΔΣΘ της Ειδικής Υπηρεσίας Συντονισμού & Διαχείρισης Προγραμμάτων Μετανάστευσης & Εσωτερικών Υποθέσεων (ΕΥΣΥΔ – ΜΕΥ) της Γενικής Γραμματείας Μεταναστευτικής Πολιτικής του Υπουργείου Μετανάστευσης και Ασύλου,"Δεν αναφέρεται χρηματικό ποσό, καθώς η απόφαση αφορά μετακίνηση υπαλλήλου.","Ειδική Υπηρεσία Συντονισμού & Διαχείρισης Προγραμμάτων Μετανάστευσης & Εσωτερικών Υποθέσεων (ΕΥΣΥΔ – ΜΕΥ) (Μονάδα Β.1, Μονάδα Β.2), Άγ. Ι. Ρέντης.","Για την ενίσχυση της Μονάδας Β.1: Διαχείρισης έργων/δράσεων ΤΕΑ και ΜΔΣΘ της Ε.Υ.ΣΥ.Δ. – Μ.Ε.Υ. στα έργα του Υπουργείου Ναυτιλίας και Νησιωτικής Πολιτικής, λόγω υπηρεσιακών αναγκών.",Ο Προϊστάμενος της Ειδικής Υπηρεσίας Συντονισμού & Διαχείρισης Προγραμμάτων Μετανάστευσης & Εσωτερικών Υποθέσεων (ΕΥΣΥΔ-ΜΕΥ) του Υπουργείου Μετανάστευσης & Ασύλου.,Μετακίνηση της υπαλλήλου Ιουλιανής Ζώρζου από τη Μονάδα Β.2 στη Μονάδα Β.1: Διαχείρισης έργων/δράσεων ΤΕΑ και ΜΔΣΘ της Ειδικής Υπηρεσίας Συντονισμού & Διαχείρισης Προγραμμάτων Μετανάστευσης & Εσωτερικών Υποθέσεων (Ε.Υ.ΣΥ.Δ. - Μ.Ε.Υ.).,Δεν αναφέρεται.
9ΗΞΩ46ΜΔΨΟ-77Π,Διορισμός υπαλλήλου Πανεπιστημιακής Εκπαίδευσης στο Υπουργείο Μετανάστευσης και Ασύλου,Μισθολογικό κλιμάκιο Μ.Κ.1 (δεν αναφέρεται συγκεκριμένο χρηματικό ποσό),"Αγ. Ιωάννης Ρέντη, Αττική",Διορισμός υπαλλήλου σε κενή οργανική θέση,Υπουργείο Μετανάστευσης και Ασύλου (μέσω του Προϊσταμένου της Γενικής Διεύθυνσης Διοικητικών και Οικονομικών Υπηρεσιών),"Σε κενή οργανική θέση κατηγορίας Πανεπιστημιακής Εκπαίδευσης με σχέση εργασίας Δημοσίου Δικαίου στο Υπουργείο Μετανάστευσης και Ασύλου, για την υπάλληλο Κόλλια Άννα του Σπυρίδωνος",Δεν αναφέρεται
